180101-023548_bem_d31_elicit_5,cintu cimo icimoneka nganshi mu bwikashi bwakwa yesu 
180101-023548_bem_d31_elicit_6,aposele ubushiku ubutuntulu ilyo ali mukusala abekumi nababili 
180101-023548_bem_d31_elicit_7,mateo alemba ukutila yesu awile ukupeme nokupepa 
180101-023548_bem_d31_elicit_8,nakabili muli luka 9 18 tulemona yesu alefwaya inshita iyakuba eka mukupepa 
180101-023548_bem_d31_elicit_9,ifintu fibili fyaisa ku mano ilyo tulesoma ici cipandwa ca malembo fyakulanga ukuba eka no kupepa 
180101-023548_bem_d31_elicit_10,mwilembo tulelolekeshapo ifintu fibili fifumine ku matontonkanyo ayakankala aya ukuba eka elyo na ukupepa 
180101-023548_bem_d31_elicit_11,mu citabo ca complete christian dictionary ishiwi ukuba weka lyapilibula ukukanabapo no muntu uwakukushindika 
180101-023548_bem_d31_elicit_12,ishiwi lya kupepa mukwipifya lipilibula fye ukuti ukulanda na lesa 
180101-023548_bem_d31_elicit_13,kanshi ukufuma kumalembo yesu tulemona imfumu yesu ilefwaya inshita iyakuba yeka pakuti ingakwata inshita iyikalamba iyakulanshanya na lesa 
180101-023548_bem_d31_elicit_14,kristu aileba eka nokupatuka kwisonde ilyapintinkana na mafya yaliko kukuba eka nokulanda na lesa 
180101-023548_bem_d31_elicit_15,masambililo nshi ayo twalafumya mu cipandwa cesu 
180101-023548_bem_d31_elicit_16,inshita yakuba weka na lesa ilatwafwa kukupuputula ukuipela kwesu kuli lesa na ku bufwayo bwakwe 
180101-023548_bem_d31_elicit_17,yesu aipakishe nganshi ukwishiba ifintu ifyashika pafyo wishi wa mumulu aba ilyo aleposa inshita na wena ekafye 
180101-023548_bem_d31_elicit_18,caliba lyonse icisuma kabili icakwafwilisha kuli ifwe ukuposa inshita cila bushiku na lesa mu mapepo elyo namu cebo 
180101-023548_bem_d31_elicit_19,lelo nga cakuti inshita shimo twalashapo imilimo lyonse no kuya ku ncende uko twingaba fwekafye 
180101-023548_bem_d31_elicit_20,kuti twakwata inshita iyikalamba mukulanda na shifwe uwa mu mulu no kumwishibilako elyo nokutendeka ukumumfwa bwino 
180101-023548_bem_d31_elicit_21,kabili kuti twasambilila ukutemwa ukucita ubufwayo bwakwe 
180101-023548_bem_d31_elicit_22,inshita yakuba neka na lesa ilenga ukucefya imilimo yakapatikila namapamfyo ya calo mu bwikashi bwesu pakuti twingakwata inshita ikalamba ukwikala mu ceni cakwa lesa 
180101-023548_bem_d31_elicit_23,ukukwata ifyakucita ifingi cilwani icikalamba icitusendela inshita yesu iisuma iyakuba na lesa 
180101-023548_bem_d31_elicit_24,tulashimikila tulasambilisha tulapanda amano nefyashala ukwabula intanshi ukuba mu ceni ca uyo uuletutuma mukucita ifi fyonse 
180101-023548_bem_d31_elicit_25,icitumbukamo milimo iyafwa iyo ishitwafwa nangu ukwafwilisha abantu tulefwaya ukupyungila elyo mucinefye tacipeela umucinshi nangu ukusekesha shifwe wesu uwa mu mulu 
180101-023548_bem_d31_elicit_26,akashita kakuba fweka kakatwafwilisha ukufulumuka ubusha bwa kukwata ifyakucita ifingi 
180101-023548_bem_d31_elicit_27,ajith fernando pa kubomfya amashiwi yakwa henri nouwen atile 
180101-023548_bem_d31_elicit_28,mu ncende umo abekalamushi bacindikisha amangalo ne fyakumpumfyanya amabupyungishi yalaba mumesho yakuibimbamo mukutulikila abantu imilimo iingi 
180101-023548_bem_d31_elicit_29,nouwen mukutwalilila atile ilipusho ilifwile ukutungulula bonse 
180101-023548_bem_d31_elicit_30,te musango wakulenga abantu ukukwatisha ifyakucita 
180101-023548_bem_d31_elicit_31,lelo musango wakulenga abantu ukukana kwatisha ifyakucita ifingi icakweba ati baleka nokumfwa ishiwi lyakwa lesa uulanda mumutalalila 
180101-023548_bem_d31_elicit_32,inshita yakuba fweka na lesa itupela ishuko lya kulanshanya na wena pafintu ifyo tushingwana nafyo mu bwikashi 
180101-023548_bem_d31_elicit_33,cishinka icakuti umubomfi onse uwakwa lesa inshita shimo alashingwana namafya mubwikashi ukushintafye namukufwaya ukuleka 
180101-023548_bem_d31_elicit_34,muli marko 14 34 tubelenga ubwafya bumo ubo yesu ashingwene nabo umusalaba 
180101-023548_bem_d31_elicit_35,yesu amwene ukufina kwa bulwi bwali pantanshi yakwe elyo afwaile inshita ya kuba eka na lesa 
180101-023548_bem_d31_elicit_36,alandile kuli wishi nokupokelela icikoseleshi na maka ya kulolenkana na macushi ayali kuntanshi 
180101-023548_bem_d31_elicit_37,ine ili line ndelemba ili lyashi ninshingwana no bwafya ubwakuti bushe ntwalilile no bupyungishi bwandi nangu ndeke 
180101-023548_bem_d31_elicit_38,ilyo naposa inshita iikalamba neka na lesa elyo ndepokelako amaka ne cikoseleshi ica kukonkanyapo ukumubombela 
180101-023548_bem_d31_elicit_39,nomba ndeteyanya inshita ya kuyaba neka ku musumba umbi ukufuma muntu njikala 
180101-023548_bem_d31_elicit_40,icikomo ndefwaya ukupeela cakuti ukuposa inshita neka na lesa mu nshita ya mafya kulangafwilisha ukutendeka ukumona fintu mu nshila lesa alefimwenamo 
180101-023548_bem_d31_elicit_41,ekutila tubikamo amaka na mano yakwa lesa ilyo tulekwata inshita nawene mu matololo 
180101-023548_bem_d31_elicit_42,eico mu nshita ya mafya caliba lyonse icakwafwilisha ukuya ku ncende ya kuba fweka na lesa pakuti engatukosha panuma 
180101-023548_bem_d31_elicit_43,elyo nomba tubwelele ku mulimo uo lesa atupeela nokutendeka ukumwimininako bwino bwino 
180101-023548_bem_d31_elicit_44,inshita yakuba fweka na lesa itulenga ukuba abaipekanya ukumfwa ishiwi lyakwe ilyo tulebutuka ifyakumpumfyanya ifya cila bushiku 
180101-023548_bem_d31_elicit_45,ninondolola kale ukutila ipepo cipilibulafye ukulanda na lesa 
180101-023548_bem_d31_elicit_46,uku kulanshanya kwa pakati kakwa lesa naifwe kubafye ukwayanguka ilyo twabutuka imilimo yakapatikila iyatukobelela no kupilibukila kuli wena 
180101-023548_bem_d31_elicit_47,nokulanda nankwe pamo nga shifwe uwa mu mulu umusango wa mipepele yesu ukashintilila pa nshita iyo tuleposa mukuba fweka na lesa 
180101-023548_bem_d31_elicit_48,fernando aloseshe ku cishinka ico uku kufyefyetuka kulenga twaita lesa mukuti engatutungulula ilyo twapituluka mufyo twatantika no kupusanya ifisuma nefya bunasha 
180101-023548_bem_d31_elicit_49,kabili kuti catwafwa ukumona nga cakutila tuleikala cila bushiku mu nshila iiletungilila ifyo lesa atwitako 
180101-023548_bem_d31_elicit_50,inshita yakuba fweka na lesa itulenga ukupola na kukunaka ukwa kucila mu cipimo 
200918-103449_bem_a40_elicit_56,ico twakwipaila nico wafulishe akameko na ubutani ilyo waleipaya inama na ukusheta weka na kakashi kobe ka na kasonde 
200918-103449_bem_a40_elicit_57,nomba kwashala aka kashi kobe nako ka kafwe 
200918-103449_bem_a40_elicit_58,ebele ico twishile kuno niku kulya amabu na umutima na icitumbi cobe 
200918-103449_bem_a40_elicit_59,ta umona pali bonse abafwa abo umona abafwa muli uno mushi 
200918-103449_bem_a40_elicit_60,apo pene kanga amabu ala kulanya akana ebele 
200918-103449_bem_a40_elicit_61,imwe uyu umuntu nangu twala mulya tuleletafye ifyongo na ulupato ku banensu 
200918-103449_bem_a40_elicit_62,awe bonse baumfwa amashiwi neci baishibe ukutila awe chikasha ali umuntu uwa afya nganshi 
200918-103449_bem_a40_elicit_63,bashimpa na ulusengo 
200918-103449_bem_a40_elicit_64,balushimpula bashimya na ukushinga 
200918-103449_bem_a40_elicit_65,bashika na ulya muntu abwelela na mu nindi 
200918-103449_bem_a40_elicit_66,basha ba citapo na bwino bwino 
200918-103449_bem_a40_elicit_67,bwangu bwangu na kasonde alila naku mushi 
200918-103449_bem_a40_elicit_68,ninshi balya bantu nabaya naku mishi kuntu bafumine ku mishi yabo 
200918-103449_bem_a40_elicit_69,awe alepula na ulubilo mumone cali nipa macaca 
200918-103449_bem_a40_elicit_70,awe umwanakashi wa kantu aleyafye kuti ukuyafika kwi sano awe alondolwela imfumu 
200918-103449_bem_a40_elicit_71,imfumu nayo ya mweba ukukana sapula akanwa pakuleka abene mulandu be umfwa kamofye bana milandu ebashele 
200918-103449_bem_a40_elicit_73,balongana bafyuka na mu mushi ukuya belama mupepi naku manda yakwa shi nkole 
200918-103449_bem_a40_elicit_74,pa pitilefye inshita iinono ne ndoshi shafika 
200918-103449_bem_a40_elicit_75,ninshi nashi senda na ma nongo aya kuya ipikilamo amabu 
200918-103449_bem_a40_elicit_76,awe ukufikafye bayamba no kuma pa luputa lwakwa shi nkole 
200918-103449_bem_a40_elicit_77,shi nkole nao tali mukani afuma 
200918-103449_bem_a40_elicit_78,elyo kabili bamweba imfwa mulya ukutila taba mufyengele iyoo mulandu uwa kwipaya inama ewa mulya 
200918-103449_bem_a40_elicit_79,kuti cilya nandu mutebeto abula umwele ukutila nomba abaile awe mukwai eeehe alaaa 
200918-103449_bem_a40_elicit_80,na bafika kale abantu ba bekata no ku bekatafye bonse ba babika na pakati 
200918-103449_bem_a40_elicit_81,shi nkole talelanda ico ba musangwile icipuba 
200918-103449_bem_a40_elicit_82,elyo imfumu yapela icipope ukutila nga balefwaya ukupusuka balya bantu 
200918-103449_bem_a40_elicit_83,ati babwekeshe shi nkole ku butuntulu 
200918-103449_bem_a40_elicit_84,elyo nga bakana awe ninshi bala imwena 
200918-103449_bem_a40_elicit_85,awe palya pene indoshi shasumina bwangu bwangu mwenso mwenso no kutila 
200918-103449_bem_a40_elicit_86,kuti sha bomba na futi ukubwekesha shi nkole ku butuntulu 
200930-081904_bem_fb0_elicit_0,bati fye ee cikulu uleenda bwino mu tauni tauipeye atemwa ukwipaya abantu babene 
200930-081904_bem_fb0_elicit_1,akasungu balebomba na joni akalumendo ifi kali ne citukutuku cilia batila triumph kalefwaya ukushitisha pantu kena kalefwaya ukushita motoka 
200930-081904_bem_fb0_elicit_2,akasungu kaipusha joni nga alefwaya ukushita icitukutuku cakako 
200930-081904_bem_fb0_elicit_3,joni atemwa sana aipusha no mutengo waciko 
200930-081904_bem_fb0_elicit_4,akasungu ndefwaya ukushitisha pali e120 pantu cicili fye icipya naendelapo imyeshi itatu epela 
200930-081904_bem_fb0_elicit_6,neco joni alicimona cilia citukutuku kabili e musango wine alefwaya triumph uwa mipaipi ibili 
200930-081904_bem_fb0_elicit_7,aeba umusungu ati bushe teti undoleleko ukufika pa kupwa kwa mweshi elyo nkaluletele e80 
200930-081904_bem_fb0_elicit_8,umusungu cisuma cikulu taumbepele bufi pantu nishi wamposela inshita ya kusombola kuli bambi 
200930-081904_bem_fb0_elicit_9,wishibe ukuti nga wampela e80 ukasena ne citukutuku ubo bwine bushiku indalama shikashalako ukalampela bucebuce cila mweshi 
200930-081904_bem_fb0_elicit_10,joni atemwa nganshi aseka atoota na mu lupi ati yah vere guu 
200930-081904_bem_fb0_elicit_11,cinecine nshilekubepa nkakuletela shonse pa 30 
200930-081904_bem_fb0_elicit_12,ubushiku bumbi joni bakumana na janet ku kantini 
200930-081904_bem_fb0_elicit_13,janet alamwipusha ati nga iwe ico ushashitila incinga nga babiyo cinshi ufwaya fye ukulaushima ku makasa 
200930-081904_bem_fb0_elicit_14,joni ayasuka ati nshilakumanisha ndalama ndefwaya ukushita incinga iya ndalama isha mulu wasela 
200930-081904_bem_fb0_elicit_15,janet oh nalimo ulefwaya ukushita humber bati 
200930-081904_bem_fb0_elicit_16,joni nalimo 
200930-081904_bem_fb0_elicit_17,bushiku bumo pa kwinuka joni aipusha akamusungu kakwe ukuti kayemulangako ifyo utunkolonkolo twa pa citukutuku tubomba 
200930-081904_bem_fb0_elicit_18,akasungu kasumina baya bonse ku ng anda 
200930-081904_bem_fb0_elicit_19,joni ashala pa lubansa aletamba icitukutuku 
200930-081904_bem_fb0_elicit_20,te pa kutemwa pa mulandu wa kuti mu nshiku shinono cikaba cuma cakwe 
200930-081904_bem_fb0_elicit_21,kuti nga aelenganya ifyo akalacicibalapo mu mufulira na mano yasalangana 
200930-081904_bem_fb0_elicit_22,akasungu pa kufuma mu ng anda kaishile ne fipepala fimo apo balembele ifyebo fya kukonka pa kwensha icitukutuku 
200930-081904_bem_fb0_elicit_23,apo pene akasungu katampa ukulondolwela joni ifyakucita pa kutampa na pa kwiminika icitukutuku 
200930-081904_bem_fb0_elicit_24,kabili kamweba akati nomba esha ukwensha ukonke ifi fine nakufuna 
200930-081904_bem_fb0_elicit_25,kanyantapo fye umuku umo no kulila calila kabili kashimya kaeba joni ukuti eo alishe 
200930-081904_bem_fb0_elicit_26,joni nao anyantapo fye umuku umo no kulila calila 
200930-081904_bem_fb0_elicit_27,akasungu kamweba ukubika mu gear wa bumo 
200930-081904_bem_fb0_elicit_28,ati abikemo aima no kuya mu musebo uwashinguluke ing anda 
200930-081904_bem_fb0_elicit_29,cilya abwela kamweba akati wamona tacayafya 
200930-081904_bem_fb0_elicit_30,joni cinecine mwandi tacayafya 
200930-081904_bem_fb0_elicit_31,nasantika pali cisano uyu mulungu walaisa ninshi naleta indalama shonse e80 
200930-081904_bem_fb0_elicit_32,pa cibelushi cakonkelepo joni aile aletandalila janet pa yadi pa mr thorncroft 
200930-081904_bem_fb0_elicit_33,talati afikeko apita ku tiirumu ashitilako janet buleti shuga no mukaka elyo alaya no kuya 
200930-081904_bem_fb0_elicit_34,ati apalame ku yadi amona janet alekunkulusha akaice muli pram mu musebo joni aimya ukuboko pakuti janet amumone 
200930-081904_bem_fb0_elicit_35,ilyo janet amona joni nicikanga ashe aposa pram pa kuyasengela joni 
200930-081904_bem_fb0_elicit_36,bati baposhanye janet aeba joni ukuti baye ku ng anda eko baya 
200930-081904_bem_fb0_elicit_37,janet alesunga ing anda yakwe bwinobwino 
200930-081904_bem_fb0_elicit_38,alishitilemo no tumipando utusuma nganshi 
200930-081904_bem_fb0_elicit_39,cilya baingila mu ng anda janet alanga joni apakwikala ati 
200930-081904_bem_fb0_elicit_40,ikaleni apa ala muno ng anda mwabula ne mipando ineine mwaba fye utu twine utwa kuwayawaya 
200930-081904_bem_fb0_elicit_41,joni alapumpya ati tamuli bakankala tata mwe banensu mwe bamona ne shakuposa pa mipando few banenu twikala panshi epela 
200930-081904_bem_fb0_elicit_42,mu kwangufyanya janet apanga natii aleta na pa tebulo balanwa bonse babili balepuma ne lyashi 
200930-081904_bem_fb0_elicit_43,mu lyashi line emo joni aishibile ukuti janet teupwa mushibe 
200930-081904_bem_fb0_elicit_44,lelo pa kushininkisha alanda amanshoko ati bushe ubwinga bwenu bukabako lilali 
200930-081904_bem_fb0_elicit_45,janet abala aseka sana elyo ayasuka ati ala nga pali abakwebele ukuti nalikobekelwa babepele fya ifyabufi ine ndi mushimbe 
200930-081904_bem_fb0_elicit_46,joni nga mulandu nshi walenga ukuti ukane ukukobekelwa we mukashana wacindama ifi 
200930-081904_bem_fb0_elicit_47,janet nico abalumendo bannansha nshibatemwa 
200930-081904_bem_fb0_elicit_48,joni nga baba shani abo bene lelo bena babipa fye bonse apo beshila 
200930-081904_bem_fb0_elicit_49,janet bamo tabasambilila atemwa ukuipakamisha bambi nabo benda na bakapenta kasuba konse 
200922-084033_bem_d31_elicit_0,ilyo umuntu umupya aiminina pakupwa kwa kulongana nokutila untuwatetekela elyo alefwaya ukuba membala wa ici cilonganino lutampulo nshi tulingile ukusenda 
200922-084033_bem_d31_elicit_1,musango nshi tulingile ukupokelelamo umweni pakuba nga membala mu cilonganino cesu 
200922-084033_bem_d31_elicit_2,ubwasuko bumo 
200922-084033_bem_d31_elicit_3,mwapolenipo nine k l pa chilonganino kaputa cmml natemwa naifwe pakukwa magaz guestion naifwe mulukuta lwesu kwaliba uwacilaumunankwe 
200922-084033_bem_d31_elicit_4,nangu umwinakristu kuti aitwa memba munshilanshi abakalamba ebengeta umwina kri ukuti memba thanks 
200922-084033_bem_d31_elicit_5,twishibisheni ifyo muletontonkanya 
200922-084033_bem_d31_elicit_6,bushe imisepela kuti twabombela pano nayo shani mufilonganino fyesu 
200922-084033_bem_d31_elicit_7,mose atile tukaya no twana twesu na bakote besu abana besu abaume na banakashi pantu tuli no lwendo lwa kuleke lambo kuli yehoba 
200922-084033_bem_d31_elicit_8,mfumu yabena egupti yalefwaya ukulekanyamo abena isreal 
200922-084033_bem_d31_elicit_9,intungulushi yabo mose yalikene ukusuminisha kuli ici 
200922-084033_bem_d31_elicit_10,alishibe ukuti nga balefwaya ukubombela lesa cilefwikwa ukuba pamo abakalamba na banono 
200922-084033_bem_d31_elicit_11,mufilonganino ifingi lelo abena kristu abakalamba na banono tababa pamo 
200922-084033_bem_d31_elicit_12,balatinishanya no kulwishanya 
200922-084033_bem_d31_elicit_13,imitima yabo mwaisula icipyu 
200922-084033_bem_d31_elicit_14,intungulushi shilacenwa pakula bepeshiwa na banono 
200922-084033_bem_d31_elicit_15,lelo kulubali lumbi natulufya abana abasuma abaume na banakashi abeele mu mabumba yambi yambi nangu ukubwelela ku calo ici ecamusebanya 
200922-084033_bem_d31_elicit_16,twaipwishe abantu babili abakokola ukubomba ne misepela elyo nge ntungulushi sha cilonganino ifyo kwingaba ukucita pali ubu bwafya 
200922-084033_bem_d31_elicit_17,bushe bwafya nshi abana banono bakwata mufilonganino fyesu 
200922-084033_bem_d31_elicit_18,bushe mwalyumfwa ukuilishanya kwabo 
200922-084033_bem_d31_elicit_19,bamo batila abakote balafilwa ukutumfwa 
200922-084033_bem_d31_elicit_20,imisepela naititikishiwa sana kukunakila ifye sonde ukubongololwa kwa ndupwa ubwafya bwa bunonshi 
200922-084033_bem_d31_elicit_21,ifi bafimona ukuti abakote tabafisakama mu cilonganino 
200922-084033_bem_d31_elicit_22,ifyo icipingo cilanda tafibikwa mukuficita sana tafifwaikwa na mumikalile yesu kabili tafyakuma umuntu umo sana 
200922-084033_bem_d31_elicit_23,mu cifyalilwa kuti twatila icitetekelo cabana banono calyafya ukumfwa no kukonka icakumwenako lintu twaisa ku mimbile ne filimba 
200922-084033_bem_d31_elicit_24,fintu nshi fimo abakote bailishanya palwa bana banono mufilonganino fyesu 
200922-084033_bem_d31_elicit_25,bamo batila abana bashino nshiku banang ani 
200922-084033_bem_d31_elicit_26,baposa inshita ishingi pa fintu ifishilebanonsha nangu fimo 
200922-084033_bem_d31_elicit_27,pamo ngo kutamba ifitunshi tunshi 
200922-084033_bem_d31_elicit_28,ukuteya ifyangalo pali fimashini ukwangala ne fibusa 
200922-084033_bem_d31_elicit_29,balikwata umutunganya ku balebateka 
200922-084033_bem_d31_elicit_30,imikalile yacitetekelo intu abana banono babelamo yaliba iyaafya ukumfwa kuli ba munyina naba nkanshi abakalamba ne cakumwenako ni nyimbo ne filimba 
200922-084033_bem_d31_elicit_31,bushe apo mutontonkanya apabela amafya yene yene ni pi 
200922-084033_bem_d31_elicit_32,ubwafya bwine bwine kubulwa ukufundwa nangu ukupandwa amano ne cilonganino naba fyashi 
200922-084033_bem_d31_elicit_33,iyi nshila ilafwa ukukuula ukwampana pamo bwino pakati ka bana banono nabakote neci cilenga abakote ukwafwa abana banono mu mafya yabo 
200922-084033_bem_d31_elicit_34,abantu tabaishibana bwino tabapita mu fintu fimo fine tapaba no kutemwana ukwafikapo pakati kabo 
200922-084033_bem_d31_elicit_35,bushe finshi fingacitwa ku lubali lwa ntungulushi pakwampana nabana banono 
200922-084033_bem_d31_elicit_36,cikankala intungulushi ukufwaya inshila isuma iyakumfwaninamo nabana banono ukupitila mufyo nandile kale 
200922-084033_bem_d31_elicit_37,intungulushi shifwile shaishiba imisepeela mufilonganino fyabo no kubapeela imilimo iyo benga bomba 
200922-084033_bem_d31_elicit_38,icakucenjesha cakutila abana banono tabafwile ukupelwa ifyakucita ifingi pa muku umo 
200922-084033_bem_d31_elicit_39,intungulushi shifwile ukukula amalalo pakati ka nkulo ne nkulo 
200922-084033_bem_d31_elicit_40,bafwile ukuteyamika amatwi yabo ku mbali shonse 
200922-084033_bem_d31_elicit_41,ici kuti capilibula abana banono ukuti bamone umo cingabela icayanguka ukubombela abakote 
200922-084033_bem_d31_elicit_42,ici ukwabula no kutwishika kuti cawamya ukwampana pamo 
200922-084033_bem_d31_elicit_43,bushe imicitile ya bana banono nga basanga amafya mu cilonganino cabo kuti mwabapandako shani amano 
200922-084033_bem_d31_elicit_44,ilyo abana banono basanga amafya cilefwaikwa ukuba abatekanya 
200922-084033_bem_d31_elicit_45,bafwile baiipusha pamo ngefi bushe finshi shikulu alefwaya ifwe tucite pali ubu bwafya 
200922-084033_bem_d31_elicit_46,cilefwaikwa kabili ukwipusha abakalamba ilyo tabalacita icintu nangu cimo 
200922-084033_bem_d31_elicit_47,nga fintu icipingo cilanda abana banono bafwile ukubeela no kucindika abakote 
200922-084033_bem_d31_elicit_48,lesa tafwaya imiponto 
200922-084033_bem_d31_elicit_49,eico abana banono bafwile ukupepela amafya ayalesangwa mu cilonganino cabo nokubombela pamo 
200916-132246_bem_a40_elicit_0,tamunshitila insapato 
200916-132246_bem_a40_elicit_3,nalimwipikila ubwali 
200916-132246_bem_a40_elicit_4,nshamwipikile umupunga 
200916-132246_bem_a40_elicit_5,mwalinshitila icitenge 
200916-132246_bem_a40_elicit_6,tamwanshitile icisote 
200916-132246_bem_a40_elicit_7,balikuwashisha ifyakufwala 
200916-132246_bem_a40_elicit_8,tabakuwashishe amalangeti 
200916-132246_bem_a40_elicit_9,twalibabilila indeleshi 
200916-132246_bem_a40_elicit_11,bushe ba ruth baleya kwisa 
200916-132246_bem_a40_elicit_12,baleya ku amelika 
200916-132246_bem_a40_elicit_14,ni k5 million 
200916-132246_bem_a40_elicit_15,mailo nkaya na bashi ku chinsali nga imwe mukaya kwi 
200916-132246_bem_a40_elicit_16,nkaya ku mpika ne shitima 
200916-132246_bem_a40_elicit_17,bushe ku ndola kutali 
200916-132246_bem_a40_elicit_18,nimupepi ni 100 kilomitasi fye 
200916-132246_bem_a40_elicit_19,bushe bashi yakuya ku lusaka iya nshita nshi 
200916-132246_bem_a40_elicit_20,iya shikishi koloko uluceelo 
200916-132246_bem_a40_elicit_22,mu zambia ukwenda na makasa ni nshila imo iya kwendelamo 
200916-132246_bem_a40_elicit_25,mwilaikala mufipuna fya kuntashi na kunuma ilyo muli pa bulendo muli ba motoka 
200916-132246_bem_a40_elicit_26,nacimona bashi iyo bashitile 
200916-132246_bem_a40_elicit_27,bashi iyo nashitile yapya 
200916-132246_bem_a40_elicit_28,namutekenya uwo baletele mwaice 
200916-132246_bem_a40_elicit_29,icimbusu ico bakulile candi 
200916-132246_bem_a40_elicit_30,incinga iyo nashitile yaluba 
200916-132246_bem_a40_elicit_31,mu nsaka umo bekala musuma 
200916-132246_bem_a40_elicit_32,mu coola umo muleikata muli indalama 
200916-132246_bem_a40_elicit_33,ku mushi uko tuleya kutali 
200916-132246_bem_a40_elicit_34,pa ng anda apo twikala pali imbwa 
200916-132246_bem_a40_elicit_35,ni bashi nshi alefwaya 
200916-132246_bem_a40_elicit_36,mwatemwa bashi ya musango nshi 
200916-132246_bem_a40_elicit_37,niwisa namutekenya mulefwaya 
200916-132246_bem_a40_elicit_38,mwana nshi mulefwaya 
200916-132246_bem_a40_elicit_39,muli shani 
200916-132246_bem_a40_elicit_40,ndifye bwino nga imwe 
200916-132246_bem_a40_elicit_41,ndifye bwino ndeipushako inshila yaku maliketi 
200916-132246_bem_a40_elicit_42,mukonke umusebo ulya mpaka musange amampatu 
200916-132246_bem_a40_elicit_43,mukonekele ku kulyo 
200916-132246_bem_a40_elicit_44,elyo mukonkanyepo ukwenda mpaka ku mpela ya musebo eko mwalasanga maliketi 
200916-132246_bem_a40_elicit_45,natotela sana 
200916-132246_bem_a40_elicit_46,cilifye mukwai 
200916-132246_bem_a40_elicit_47,abena zambia tabaishibisha ukulangisha umuntu intunga lelo balafwilisha sana 
200916-132246_bem_a40_elicit_48,nga muleipusha uko muleya kuti mwaipusha umuntu uuli onse 
200916-132246_bem_a40_elicit_49,abena zambia balikwata umutekatima 
201006-005222_bem_798_elicit_0,nomba ico umutima washipa ku mpili kuntu baakulile ebele awe nga bakundya kabandye uutine mfwa ni muka mwenso 
201006-005222_bem_798_elicit_1,cilya bafika kuti pa kumuposha baleimika ne filimi fya mafumo pa lukasa lwakwe ifyatwa 
201006-005222_bem_798_elicit_2,uwatangile kunlanshi umo umutali nganshi ali ashimpepofye shamitombo abwela amwentula nako 
201006-005222_bem_798_elicit_3,wongo ashimonakofye na bantu bakwe bebele uyu muntu tewamasange iyoo 
201006-005222_bem_798_elicit_4,bamono kupama kwafulisha bamusenda bamutwala na ku nanda abati aye asendame uleke atuushe 
201006-005222_bem_798_elicit_5,icungulo abantu baisalongana akabung we pa mwinshi wa tanda yakwe 
201006-005222_bem_798_elicit_6,balelanda ifintu ifingi saana ifyo teti omfwe na kumfwa 
201006-005222_bem_798_elicit_7,nomba mwalekutikilila aleumfwakofye uko balelumbula ishina limo baleti ba mangala 
201006-005222_bem_798_elicit_8,nomba umwakuti aciloshe temo e mwabulile 
201006-005222_bem_798_elicit_9,aingila na mu kayanda kakwe asendamafye no tupapa twakwe pa mubili 
201006-005222_bem_798_elicit_10,wongo alimwebele na bwino bwino ukuti ku blueville kwashelefye ndo imo pa nshila bwaca wayafika nangu 14 00 koloko 
201006-005222_bem_798_elicit_11,taimine bwangu pa wongo pa mushi 
201006-005222_bem_798_elicit_12,eco auilefye talafika nakutali bwaila alafwaya apakulala 
201006-005222_bem_798_elicit_13,ico afikile pa mpili shingi asalapo lumo apo amwene icilucengo ickulu saana 
201006-005222_bem_798_elicit_14,aingilamo asanga mukali namufila ninshi umweshi elyo watula taulasansama 
201006-005222_bem_798_elicit_15,aalelefye lwa ku mwinshi ifi afisama ku numa ya libwe 
201006-005222_bem_798_elicit_16,alelefye cilo cimo aumfwa inshindo shamubusha 
201006-005222_bem_798_elicit_17,aumfwa ku mwinshi kuli na nku nku nku ebele nafwa 
201006-005222_bem_798_elicit_18,asumbulo mulwe kuti amone cinshi amonafye abantu baleingila mu lucengo bali na labalabalaba 
201006-005222_bem_798_elicit_19,ne fipe pa mitwe basendele ni kanunde 
201006-005222_bem_798_elicit_20,umutima umo auti bushe ninshi nsose 
201006-005222_bem_798_elicit_21,nomba umbi nao auti ala efilya bailetelela 
201006-005222_bem_798_elicit_22,mu muulu mwali no mulale apalepito lubuto lwa mweshi amonafye bafika ku kati ka lucengo balatula ne fipe fingi saana 
201006-005222_bem_798_elicit_23,limo ili muntu lyali ngelyalesunta ne nkonto mu minwe 
201006-005222_bem_798_elicit_24,shamitombo alilolekesha amona lili lyafina saana pa menso 
201006-005222_bem_798_elicit_25,no mutima wamweba auti aba bantu labaibelelefye iyoo bapuupu 
201006-005222_bem_798_elicit_26,bwangu bwangu bakosha no mulilo 
201006-005222_bem_798_elicit_27,na mu lucengo mwabuta na tuutu 
201006-005222_bem_798_elicit_28,shamitombo amaano yamupwa ebele ndefuma shaani 
201006-005222_bem_798_elicit_29,ukwafiseme ku ciibwe amona balakakula ifyo baishile nafyo 
201006-005222_bem_798_elicit_30,balafibika na pamo ifi pa mitumba yakale 
201006-005222_bem_798_elicit_31,ati alolekeshe amona imfuti shifitilepo na fititi 
201006-005222_bem_798_elicit_32,imitumba ya nsalu nayo ni mutuule 
201006-005222_bem_798_elicit_33,apelelefye ukumone sho shine shaishile na bawishi nasho ninshi shalisapauka ilyo afyelwe ninshi acili ne myaka itatu 
201006-005222_bem_798_elicit_34,ku mwabo bena baishibafye mpapa ne filundu 
201006-005222_bem_798_elicit_35,ati alolekeshe abene amona nabo bafwele mpapa nga ena 
201006-005222_bem_798_elicit_36,camupesha amaano ebele nge nsalu shonse ishi ninshi cinshi bashifwalila 
